134819,-1.07,0.46,-0.09,-2.17,12.32,-3.5,0,0,3645
134827,-1.07,0.4,-0.13,-2.94,10.92,-6.02,0,0,3653
134835,-1.12,0.31,-0.21,-1.75,9.03,-8.05,0,0,3661
134842,-1.15,0.27,-0.33,0.28,6.16,-10.36,0,0,3668
134850,-1.08,0.3,-0.49,2.8,3.22,-11.76,0,0,3676
134858,-0.98,0.35,-0.62,3.57,0.21,-13.16,0,0,3684
134865,-0.95,0.37,-0.71,2.52,-5.04,-14.77,0,0,3691
134873,-0.91,0.28,-0.71,1.75,-9.38,-15.26,0,0,3699
134881,-0.87,0.1,-0.64,5.95,-13.37,-14.21,0,0,3707
134889,-0.93,-0.06,-0.48,11.2,-15.89,-11.27,0,0,3715
134897,-0.97,-0.2,-0.12,14.77,-15.68,-6.93,0,0,3723
134905,-0.97,-0.31,0.12,14.49,-14.07,1.54,0,0,3731
134913,-0.92,-0.49,0.31,13.44,-11.34,9.87,0,0,3739
134921,-0.77,-0.59,0.54,14.28,-2.1,20.02,0,0,3747
134928,-0.69,-0.58,0.72,14.98,6.09,30.94,0,0,3754
134936,-0.62,-0.5,0.78,14.98,15.4,41.51,0,0,3762
134944,-0.58,-0.41,0.77,16.94,25.06,51.31,0,0,3770
134951,-0.58,-0.19,0.73,18.9,32.48,58.52,0,0,3777
134959,-0.54,-0.04,0.62,22.61,39.97,64.68,0,0,3785
134967,-0.59,0.14,0.46,24.85,46.27,68.11,0,0,3793
134974,-0.69,0.22,0.35,26.6,51.73,70.07,0,0,3800
134982,-0.76,0.19,0.28,27.37,56.14,71.61,0,0,3808
134989,-0.76,0.06,0.25,29.19,61.32,74.13,0,0,3815
134997,-0.82,-0.09,0.26,31.71,66.15,78.33,0,0,3823
135005,-0.93,-0.2,0.29,33.81,70.98,85.19,0,0,3831
135012,-1.04,-0.29,0.33,34.09,76.65,91.07,0,0,3838
135020,-1.14,-0.39,0.38,33.6,82.18,97.72,0,0,3846
135028,-1.33,-0.54,0.36,33.6,87.64,105.35,2,0,3854
135036,-1.3,-0.68,0.28,36.82,91.49,114.52,0,0,3862
135043,-1.26,-0.75,0.22,42.77,94.15,124.95,4,0,3869
135051,-1.24,-0.76,0.17,48.23,97.16,135.38,5,0,3877
135058,-1.26,-0.69,0.16,56.14,100.24,144.83,4,0,3884
135066,-1.36,-0.57,0.18,59.22,103.88,152.88,13,0,3892
135074,-1.49,-0.55,0.21,62.3,108.36,159.53,17,0,3900
135082,-1.55,-0.59,0.31,64.47,115.29,165.9,20,0,3908
135089,-1.62,-0.66,0.42,66.57,125.3,174.86,53,0,3915
135097,-2.04,-0.65,0.63,65.73,131.67,186.83,59,0,3923
135104,-2.29,-0.66,0.96,59.15,142.38,191.17,54,0,3930
135112,-2.41,-1.08,1.24,48.3,156.73,203,46,0,3938
135120,-2.11,-1.7,1.38,42.98,174.3,220.08,57,0,3946
135127,-2.2,-2.09,1.4,47.11,192.15,241.85,79,0,3953
135135,-2.75,-2.33,1.15,59.64,202.3,261.59,66,0,3961
135143,-3.02,-2.56,0.74,89.46,210.84,276.78,41,0,3969
135150,-2.61,-1.77,0.39,119.07,218.47,282.73,8,0,3976
135158,-1.83,-0.65,-0.11,128.59,225.4,287.77,17,0,3984
135166,-1.48,-0.34,-0.42,150.01,238.21,303.94,0,0,3992
135174,-2.32,0.31,-1.14,172.48,223.3,306.67,0,0,4000
135181,-5.36,2.02,-2.39,221.9,155.12,267.05,0,0,4007
