41344,-1.78,-1.24,-0.36,-235.06,88.27,-136.01,3,0,1600
41352,-1.41,-2.07,-0.48,-231.14,41.44,-112.98,0,1,1608
41360,-1.06,-2.45,-0.46,-190.96,0.7,-101.99,0,0,1616
41368,-0.97,-2.33,-0.95,-154.56,-27.93,-93.03,0,0,1624
41376,-1.21,-1.32,-1.19,-103.88,-29.33,-80.29,0,0,1632
41385,-1.35,-0.85,-1.18,-51.03,-28.35,-50.75,0,0,1641
41393,-1.14,-0.88,-0.88,-40.18,-31.78,-7,0,0,1649
41401,-0.81,-0.91,-0.75,-53.34,-42.49,43.26,0,0,1657
41408,-0.56,-0.94,-0.67,-67.48,-67.06,68.39,1,0,1664
41416,-0.22,-0.96,-0.64,-68.39,-99.68,89.95,1,0,1672
41424,-0.14,-0.98,-0.65,-51.59,-119.14,112.56,0,0,1680
41432,-0.08,-0.97,-0.67,-22.26,-136.78,140.77,0,0,1688
41440,-0.02,-0.99,-0.68,15.54,-151.9,177.38,0,0,1696
41448,0.03,-0.97,-0.67,57.61,-163.45,201.6,3,0,1704
41456,0.12,-0.97,-0.59,98.77,-167.72,224.14,0,0,1712
41464,0.16,-0.97,-0.59,132.02,-161.98,242.27,0,0,1720
41471,0.21,-0.94,-0.56,175.49,-152.39,255.64,0,1,1727
41479,0.28,-0.84,-0.48,206.43,-136.85,270.76,0,0,1735
41487,0.27,-0.72,-0.42,222.25,-130.83,285.95,0,0,1743
41495,0.24,-0.63,-0.42,228.9,-123.41,299.67,0,0,1751
41502,0.24,-0.55,-0.42,226.17,-120.19,314.16,0,0,1758
41510,0.23,-0.37,-0.39,216.79,-120.89,332.71,0,2,1766
41518,0.22,-0.25,-0.36,200.34,-125.65,345.8,0,0,1774
41526,0.14,-0.16,-0.31,176.26,-134.61,358.33,0,1,1782
41534,0.07,-0.12,-0.28,135.31,-140.77,366.52,0,0,1790
41541,-0.05,-0.12,-0.26,102.83,-148.89,372.61,0,0,1797
41549,-0.15,-0.16,-0.29,75.88,-154.42,375.34,0,0,1805
41557,-0.28,-0.2,-0.34,59.71,-156.94,377.51,0,0,1813
41565,-0.38,-0.25,-0.35,52.57,-160.72,381.85,0,0,1821
41573,-0.4,-0.25,-0.36,54.04,-163.24,384.65,0,1,1829
41581,-0.52,-0.4,-0.44,62.93,-165.76,382.97,0,0,1837
41588,-0.64,-0.63,-0.63,68.67,-174.44,380.87,0,0,1844
41596,-0.81,-0.59,-0.56,79.45,-187.88,383.11,0,0,1852
41604,-0.89,-0.24,-0.53,99.26,-184.73,370.93,0,0,1860
41612,-1.08,-0.14,-0.43,107.24,-181.58,351.19,0,0,1868
41620,-1.21,-0.08,-0.25,99.82,-179.62,335.93,0,0,1876
41628,-1.15,-0.01,0.5,75.6,-156.24,317.38,0,0,1884
41636,-1.17,0.18,1.12,45.5,-142.03,293.72,0,0,1892
41643,-1.54,0.08,0.96,-10.22,-143.36,266.42,0,0,1899
41651,-1.72,0.46,0.66,-53.62,-136.99,223.79,0,0,1907
41659,-1.7,0.64,0.54,-89.6,-127.26,168.7,0,0,1915
41666,-1.45,0.02,0.39,-115.71,-116.13,116.83,0,0,1922
41674,-1.01,-0.76,0.23,-133.84,-105.35,58.94,0,0,1930
41682,-0.47,-0.21,0.09,-108.57,-64.96,-1.68,0,0,1938
41690,-0.51,-0.25,-0.07,-62.86,-5.6,-67.41,0,0,1946
41698,-0.72,-0.87,-0.04,-20.37,13.58,-113.89,0,0,1954
41706,-0.59,-1.28,-0.21,-16.87,27.16,-146.72,0,0,1962
41714,-0.45,-1.3,-0.42,-11.2,45.99,-170.87,0,0,1970
41722,-0.62,-1.46,-0.67,28.21,88.62,-179.69,0,1,1978
41730,-0.91,-1.57,-0.25,100.03,113.33,-190.33,0,24,1986
41738,-1.5,-1.52,-0.78,189.07,138.18,-206.22,0,33,1994
41746,-2.3,-0.35,-1.02,232.82,144.41,-196.77,0,30,2002
41754,-3.1,0.76,-0.54,232.82,116.2,-170.24,0,31,2010
