140398,-1.21,-0.8,-0.27,-56.35,61.18,-80.57,0,0,1206
140407,-1.09,-1.09,-0.29,-46.55,46.76,-56.49,0,0,1215
140415,-0.96,-1.21,-0.37,-38.01,31.36,-42.84,0,0,1223
140423,-0.7,-1.37,-0.52,-29.47,8.19,-32.76,0,0,1231
140431,-0.54,-1.26,-0.69,-20.58,-7.14,-22.4,0,0,1239
140439,-0.55,-0.97,-0.73,-5.25,-16.31,-7.91,0,0,1247
140447,-0.58,-0.75,-0.65,13.58,-18.69,20.51,0,0,1255
140455,-0.64,-0.73,-0.57,31.22,-20.86,42.84,0,0,1263
140463,-0.66,-0.74,-0.53,47.46,-27.16,62.65,0,5,1271
140471,-0.7,-0.77,-0.52,55.16,-37.94,78.4,0,0,1279
140479,-0.69,-0.77,-0.5,61.74,-49.98,90.86,0,0,1287
140487,-0.64,-0.72,-0.49,66.5,-60.97,103.46,0,0,1295
140495,-0.58,-0.65,-0.49,67.48,-72.31,113.82,0,0,1303
140503,-0.55,-0.56,-0.47,63.91,-79.03,125.86,0,1,1311
140511,-0.55,-0.51,-0.44,58.66,-87.15,139.51,0,0,1319
140519,-0.57,-0.49,-0.42,52.64,-96.67,154.77,0,0,1327
140527,-0.56,-0.45,-0.43,45.5,-106.19,176.47,0,0,1335
140535,-0.57,-0.45,-0.46,39.97,-120.12,190.26,0,0,1343
140543,-0.55,-0.46,-0.51,37.31,-126.07,202.79,0,0,1351
140551,-0.53,-0.46,-0.54,34.79,-130.62,214.06,0,0,1359
140559,-0.5,-0.46,-0.56,32.13,-132.79,224.42,0,0,1367
140567,-0.49,-0.45,-0.54,29.4,-136.15,235.69,0,0,1375
140575,-0.51,-0.45,-0.53,25.06,-144.27,243.95,0,0,1383
140583,-0.53,-0.46,-0.53,21.21,-150.85,251.72,0,0,1391
140590,-0.53,-0.49,-0.56,19.11,-156.38,258.79,0,0,1398
140598,-0.53,-0.5,-0.58,21.49,-160.09,265.86,0,0,1406
140606,-0.54,-0.52,-0.58,28.14,-162.54,273.14,0,0,1414
140614,-0.55,-0.54,-0.57,36.68,-163.8,282.59,0,0,1422
140622,-0.56,-0.53,-0.54,45.64,-162.96,289.59,0,0,1430
140630,-0.58,-0.53,-0.5,53.97,-161.14,296.73,0,0,1438
140638,-0.59,-0.51,-0.46,63.42,-158.48,303.38,0,0,1446
140646,-0.6,-0.48,-0.42,68.25,-154.77,309.89,0,0,1454
140653,-0.63,-0.45,-0.37,71.75,-150.71,315.63,0,0,1461
140661,-0.68,-0.4,-0.33,73.85,-146.51,320.88,0,0,1469
140669,-0.72,-0.34,-0.27,73.99,-141.26,322.56,0,0,1477
140677,-0.8,-0.29,-0.19,71.26,-132.51,322.56,0,0,1485
140685,-0.87,-0.22,-0.1,65.1,-123.48,320.67,0,0,1493
140693,-0.96,-0.12,-0.01,53.62,-111.79,316.33,0,0,1501
140701,-1.07,-0.01,0.08,41.86,-100.52,309.12,0,0,1509
140709,-1.22,0.09,0,28.14,-94.64,293.51,0,0,1517
140716,-1.35,0.06,-0.27,9.17,-95.62,277.06,0,0,1524
140724,-1.32,0,-0.38,-7.49,-90.09,255.43,0,0,1532
140732,-1.06,0.05,-0.33,-10.15,-87.01,229.04,0,0,1540
