TO,IC
3690,2898
5009,4265
6319,5576
7764,6918
9078,8331
10370,9629
11695,10931
13026,12247
14400,13588
15779,14980
17115,16337
18378,17657
19702,18935
20998,20258
22313,21548
23658,22866
24995,24220
26297,25536
27593,26834
28946,28134
30307,29508
31598,30842
32894,32131
34208,33438
35552,34778
36894,36128
38201,37456
39530,38761
40868,40097
42203,41406
43553,42759
44893,44103
46236,45456
47612,46801
48990,48178
50360,49546
51767,50941
53143,52349
54480,53709
55808,55029
57131,56352
58515,57723
59853,59058
61249,60442
62664,61870
63972,63216
65304,64504
66685,65883
68079,67268
69485,68653
70910,70053
72364,71507
