TO,IC
4038,3172
5491,4672
6895,6100
8424,7540
9935,9029
11405,10539
12907,12023
14480,13574
15981,15100
17546,16648
19145,18205
20745,19796
22380,21400
23840,23084
25370,24507
26700,26037
28330,27527
29800,28961
31346,30446
32841,31941
34348,33467
35850,34975
37420,36512
38970,38061
40440,39560
41959,41075
43472,42631
44926,44084
46390,45543
47919,47056
49439,48591
50964,50081
52513,51630
54073,53162
55500,54683
56960,56119
58468,57607
59995,59113
61463,60605
62971,62122
64502,63613
66004,65146
67468,66599
68899,68049
70330,69495
71920,71035
73420,72621
74930,74083
76420,75580
77970,77053
79604,78683
81107,80286
82630,81749
84178,83297
85765,84846
87290,86416
88732,87899
90120,89342
91680,90753
93150,92335
94785,93872
