TO,IC
1608,1038
2592,2050
3555,3019
4505,3979
5473,4947
6438,5896
7397,6863
8362,7816
9331,8787
10309,9765
11296,10745
12261,11738
13214,12695
14176,13647
15124,14597
16064,15534
17010,16475
17963,17446
18915,18388
19876,19342
20835,20302
21798,21269
22751,22232
23736,23193
24675,24156
25637,25094
26590,26071
27543,27016
28507,27972
29456,28929
30410,29890
31359,30838
32311,31773
33265,32738
34241,33715
35204,34668
36176,35646
37143,36611
38114,37578
39074,38537
40020,39492
41095,40476
