TO,IC
2556,1785
3845,3100
5111,4396
6329,5640
7486,6881
8498,7935
9532,8977
10578,10013
11597,11043
12627,12063
13516,13046
14408,13920
15315,14836
16225,15742
17154,16661
18078,17574
18992,18498
19920,19418
20818,20332
21823,21235
22908,22304
23969,23366
25056,24446
26110,25522
27148,26577
28224,27613
29323,28697
30408,29795
31510,30888
32650,31977
33862,33187
35033,34343
36259,35553
37427,36774
38662,37945
39897,39192
41103,40411
42411,41665
43634,42933
44852,44149
46116,45401
47320,46622
48543,47855
49786,49071
