TO,IC
2105,1575
3039,2514
3996,3481
4949,4436
5927,5405
6892,6369
7850,7334
8809,8293
9772,9254
10695,10193
11666,11136
12649,12120
13618,13103
14589,14062
15547,15025
16520,15986
17510,16983
18483,17954
19428,18915
20378,19853
21362,20830
22315,21783
23250,22743
24191,23685
25141,24617
26101,25575
27053,26535
28013,27489
28967,28465
29912,29403
30875,30347
31821,31294
32771,32255
33725,33207
34665,34155
35599,35100
36566,36027
37548,37010
38521,37984
39500,38954
40520,39965
