TO,IC
2961,2095
4177,3468
5348,4653
6514,5822
7665,6964
8800,8123
9904,9242
11008,10358
12065,11447
13150,12504
14237,13584
15271,14655
16373,15705
17491,16830
18584,17925
19681,19027
20779,20119
21886,21227
22990,22329
24078,23400
25165,24521
26253,25593
27373,26695
28459,27814
29539,28885
30598,29950
31679,31009
32793,32099
33880,33235
34957,34306
36044,35377
37123,36470
38206,37557
39278,38640
40347,39702
41433,40789
42549,41881
43651,42990
44727,44068
45794,45155
46859,46213
47924,47294
48996,48346
50132,49454
51228,50572
52324,51666
53420,52767
54532,53866
