TO,IC
3156,2446
4420,3760
5640,5016
6907,6237
8183,7474
9480,8779
10730,10053
11977,11265
13259,12551
14565,13856
15840,15140
17095,16404
18360,17656
19624,18947
20869,20199
22111,21446
23330,22661
24597,23928
25846,25187
27110,26434
28349,27678
29578,28900
30823,30137
32110,31408
33382,32693
34588,33931
35791,35139
37037,36367
38281,37603
39588,38864
40853,40145
42116,41433
43379,42698
44600,43922
45840,45173
47105,46442
48373,47695
49630,48957
50850,50178
52040,51406
53215,52600
54435,53780
55617,54985
56799,56158
57968,57341
59104,58496
60260,59639
61408,60795
62569,61929
63721,63087
64860,64231
66058,65420
67225,66586
68401,67780
