TO,IC
4110,3284
5462,4676
6819,6025
8166,7390
9550,8798
10921,10174
12280,11523
13689,12914
15063,14293
16450,15666
17633,16998
18779,18160
19974,19324
21120,20499
22230,21616
23377,22766
24487,23885
25628,24995
26768,26150
27928,27284
28949,28403
29941,29424
30935,30411
31925,31410
32901,32386
33891,33361
34858,34342
35836,35306
36807,36277
37779,37250
38737,38231
39687,39171
40630,40131
41699,41082
42812,42175
43938,43287
45089,44446
46216,45573
47351,46698
48485,47855
49599,48986
50768,50102
52260,51401
53752,52910
55222,54394
56699,55848
58164,57324
59596,58782
61087,60245
62651,61736
