TO,IC
3359,2738
4405,3785
5429,4831
6465,5861
7478,6889
8491,7903
9512,8924
10520,9928
11533,10944
12547,11958
13575,12978
14610,14006
15627,15029
16634,16043
17657,17059
18692,18099
19714,19115
20721,20140
21744,21151
22765,22166
23803,23209
24848,24253
25882,25298
26906,26309
27967,27335
29001,28390
30012,29423
31050,30452
32112,31492
33139,32537
34191,33589
35224,34600
36267,35662
37301,36702
38340,37740
39380,38772
40437,39806
41482,40877
42544,41914
43589,42958
