TO,IC
2977.0,2246.0
4162.0,3467.0
5279.0,4625.0
6399.0,5741.0
7514.0,6865.0
8613.0,7973.0
9735.0,9087.0
10845.0,10203.0
11960.0,11304.0
13063.0,12429.0
14172.0,13527.0
15276.0,14630.0
16388.0,15732.0
17487.0,16836.0
18593.0,17945.0
19688.0,19049.0
20797.0,20142.0
21896.0,21255.0
23011.0,22347.0
24110.0,23475.0
25237.0,24568.0
26399.0,25703.0
27523.0,26857.0
28647.0,27988.0
29791.0,29112.0
30929.0,30264.0
32030.0,31389.0
33127.0,32487.0
34210.0,33585.0
35307.0,34680.0
36397.0,35764.0
37494.0,36861.0
38595.0,37960.0
39731.0,39076.0
40838.0,40195.0
41951.0,41303.0
43064.0,42415.0
44154.0,43513.0
45260.0,44619.0
46387.0,45732.0
