TO,IC
2244,1658
3262,2696
4252,3713
5247,4711
6244,5691
7262,6710
8311,7728
9309,8747
10322,9761
11355,10796
12366,11806
13401,12825
14437,13845
15430,14870
16467,15898
17517,16926
18506,17954
19520,18975
20545,19987
21642,21010
22586,22015
23594,23047
24651,24061
25666,25071
26661,26085
27720,27121
28739,28147
29757,29167
30786,30185
31797,31206
32819,32236
33828,33254
34854,34254
35866,35281
36889,36296
37897,37336
38954,38353
39958,39369
41010,40419
42034,41449
43014,42458
44040,43463
45107,44507
46147,45539
47167,46591
48239,47625
49314,48683
