TO,IC
3033,2444
4106,3553
5189,4619
6316,5733
7441,6859
8539,7970
9627,9034
10724,10138
11826,11243
12946,12354
14059,13467
15120,14563
16234,15626
17345,16740
18441,17848
19507,18930
20560,20006
21629,21055
22724,22134
23817,23248
24884,24328
25933,25373
27012,26444
28088,27506
29160,28599
30216,29639
31290,30726
32344,31775
33404,32838
34473,33906
35535,34990
36598,36041
37649,37084
38745,38168
39831,39264
40864,40307
41923,41346
42967,42401
44006,43457
45029,44497
46079,45519
47118,46566
48193,47609
49233,48688
50305,49746
51382,50816
52467,51900
