TO,IC
4100,3057
5811,4801
7443,6457
9000,8026
10474,9561
11936,11029
13297,12450
14742,13863
16141,15288
17524,16667
18998,18082
20381,19540
21749,20900
23054,22260
24370,23581
25703,24876
27004,26216
28334,27531
29650,28860
31047,30227
32363,31552
33685,32866
34985,34196
36304,35481
37590,36809
38868,38094
40136,39373
41434,40645
42748,41930
44060,43275
45347,44546
46611,45844
47931,47129
49207,48427
50531,49734
51845,51060
53138,52348
54378,53614
55599,54850
56867,56097
58141,57364
59426,58633
60630,59898
61900,61117
63199,62404
64489,63712
65779,64991
67042,66273
68317,67539
69638,68844
71002,70158
