TO,IC
3389,2830
4351,3855
5303,4792
6284,5769
7250,6743
8211,7700
9165,8648
10143,9618
11130,10596
12092,11576
13081,12556
14058,13537
15024,14509
15988,15475
16971,16448
17960,17422
18948,18411
19930,19408
20906,20375
21900,21364
22904,22359
23879,23362
24879,24346
25885,25346
26859,26337
27831,27301
28821,28281
29797,29278
30788,30256
31785,31262
32791,32244
33770,33243
34767,34236
35584,35219
36728,36190
37702,37180
38680,38163
39663,39132
40637,40105
41610,41087
42593,42063
43576,43053
44555,44019
