Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
175.84,2956.0,-52.08,4508.0,-37.8,5107.0,-64.89,3122.0,-89.88,3972.0,23.0,235.0,-64.89,3122.0,-89.88,3972.0
164.01,4350.0,-60.13,5909.0,-85.68,6730.0,-61.6,4524.0,-102.62,5342.0,23.0,102.0,-47.11,4501.0,-37.8,5107.0
163.94,5671.0,-72.1,7203.0,-71.68,7997.0,-60.13,5909.0,-113.89,6683.0,23.0,86.0,-49.77,5886.0,-67.48,6581.0
174.86,7045.0,-64.75,8515.0,-77.77,9332.0,-72.1,7203.0,-101.64,7951.0,16.0,55.0,-51.24,7180.0,-76.58,7865.0
171.78,8343.0,-70.14,9821.0,-123.41,10520.0,-65.24,8508.0,-105.77,9286.0,15.0,85.0,-49.77,8492.0,-77.49,9231.0
189.84,9624.0,-80.15,11045.0,-109.27,11853.0,-72.66,9813.0,-126.49,10527.0,31.0,47.0,-60.13,9798.0,-73.01,10442.0
169.19,10919.0,-94.5,12357.0,-112.28,13120.0,-85.96,11060.0,-117.6,11829.0,23.0,70.0,-54.18,11029.0,-84.77,11782.0
182.7,12159.0,-47.04,13656.0,-104.86,14417.0,-94.5,12357.0,-112.28,13120.0,8.0,47.0,-61.11,12334.0,-85.68,13050.0
180.18,13498.0,-80.43,14932.0,-115.71,15665.0,-74.9,13640.0,-111.23,14402.0,23.0,70.0,-70.98,13632.0,-83.16,14355.0
170.87,14768.0,-79.45,16195.0,-134.4,16961.0,-80.43,14932.0,-116.48,15673.0,31.0,77.0,-59.36,14909.0,-82.32,15603.0
179.97,15991.0,-107.87,17435.0,-148.61,18053.0,-88.27,16210.0,-137.83,16976.0,31.0,70.0,-59.29,16179.0,-81.06,16899.0
215.67,17295.0,-107.24,18537.0,-155.89,19149.0,-107.87,17435.0,-153.16,18046.0,23.0,54.0,-68.32,17404.0,-89.81,17976.0
199.36,18397.0,-112.21,19590.0,-136.22,20213.0,-123.83,18529.0,-161.07,19126.0,16.0,31.0,-90.3,18506.0,-103.53,19072.0
225.47,19464.0,-105.49,20639.0,-76.09,21124.0,-129.64,19582.0,-142.24,20182.0,15.0,101.0,-105.07,19566.0,-114.94,20151.0
240.52,20505.0,-127.47,21697.0,-154.21,22298.0,-119.91,20631.0,-153.3,21225.0,16.0,63.0,-92.4,20616.0,-76.09,21124.0
217.07,21547.0,-133.98,22738.0,-144.83,23347.0,-127.47,21697.0,-156.38,22290.0,23.0,54.0,-108.5,21681.0,-105.49,22227.0
235.62,22605.0,-81.06,23766.0,-140.56,24352.0,-133.98,22738.0,-153.65,23315.0,8.0,40.0,-90.09,22715.0,-111.37,23261.0
248.15,23617.0,-142.17,24769.0,-149.52,25326.0,-122.22,23751.0,-146.93,24329.0,16.0,62.0,-105.42,23743.0,-110.88,24289.0
243.46,24652.0,-121.87,25790.0,-150.01,26378.0,-142.17,24769.0,-152.81,25334.0,7.0,46.0,-104.65,24753.0,-108.43,25272.0
243.53,25673.0,-109.9,26813.0,-74.83,27281.0,-126.7,25782.0,-151.13,26370.0,8.0,118.0,-113.47,25775.0,-109.27,26324.0
218.47,26646.0,-113.05,27833.0,-135.73,28425.0,-118.72,26805.0,-157.29,27399.0,16.0,54.0,-108.15,26797.0,-74.83,27281.0
231.14,27698.0,-119.42,28846.0,-76.58,29306.0,-117.04,27841.0,-156.24,28394.0,8.0,108.0,-101.78,27825.0,-108.57,28340.0
219.03,28710.0,-130.48,29849.0,-142.52,30450.0,-121.1,28838.0,-147.63,29414.0,16.0,70.0,-104.23,28830.0,-76.58,29306.0
232.05,29722.0,-119.21,30867.0,-135.66,31508.0,-130.48,29849.0,-151.62,30434.0,15.0,55.0,-86.73,29833.0,-106.89,30364.0
235.83,30742.0,-131.95,31871.0,-150.22,32406.0,-119.21,30867.0,-157.57,31484.0,23.0,62.0,-97.44,30852.0,-107.94,31429.0
272.86,31744.0,-143.36,32824.0,-184.03,33332.0,-138.32,31878.0,-160.79,32399.0,16.0,62.0,-87.99,31855.0,-108.29,32337.0
244.93,32690.0,-139.3,33750.0,-177.59,34271.0,-158.55,32817.0,-184.03,33332.0,7.0,54.0,-118.79,32801.0,-113.26,33270.0
246.68,33624.0,-151.41,34672.0,-171.15,35200.0,-149.38,33742.0,-180.11,34263.0,15.0,43.0,-142.45,33735.0,-124.6,34209.0
262.22,34562.0,-142.24,35595.0,-162.47,36108.0,-151.41,34672.0,-179.55,35184.0,16.0,39.0,-110.04,34657.0,-128.94,35141.0
241.85,35477.0,-145.67,36518.0,-196.42,37028.0,-142.24,35595.0,-169.82,36093.0,16.0,47.0,-108.01,35579.0,-134.54,36054.0
239.89,36393.0,-129.99,37468.0,-180.88,37983.0,-145.67,36518.0,-196.42,37028.0,15.0,54.0,-127.05,36502.0,-127.89,36981.0
230.16,37342.0,-147.56,38401.0,-149.59,38932.0,-147.21,37460.0,-186.62,37991.0,16.0,31.0,-115.22,37445.0,-132.09,37937.0
258.93,38283.0,-146.72,39326.0,-181.51,39830.0,-147.56,38401.0,-163.73,38908.0,16.0,51.0,-122.85,38385.0,-134.19,38877.0
227.92,39168.0,-120.47,40263.0,-154.07,40795.0,-146.72,39326.0,-183.33,39838.0,8.0,39.0,-108.15,39310.0,-128.38,39787.0
221.48,40137.0,-133.63,41206.0,-95.48,41760.0,-131.88,40256.0,-158.97,40787.0,16.0,15.0,-115.08,40248.0,-122.92,40748.0
246.26,41087.0,-115.01,42239.0,-133.77,42825.0,-133.63,41206.0,-134.82,41721.0,16.0,55.0,-113.54,41190.0,-124.95,41706.0
