Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
340.41,52273.0,-158.27,53553.0,-193.62,54192.0,-163.38,52430.0,-196.14,53054.0,16.0,79.0,-131.95,52414.0,-144.9,52975.0
336.07,53403.0,-166.88,54667.0,-194.53,55290.0,-158.27,53553.0,-195.09,54176.0,16.0,102.0,-128.24,53537.0,-142.03,54097.0
346.01,54533.0,-158.13,55775.0,-205.52,56390.0,-166.88,54667.0,-200.41,55313.0,16.0,79.0,-128.66,54651.0,-139.65,55211.0
345.52,55633.0,-169.89,56864.0,-196.63,57500.0,-158.13,55775.0,-207.06,56374.0,24.0,95.0,-117.95,55759.0,-144.48,56295.0
350.91,56715.0,-151.41,58010.0,-200.69,58658.0,-169.96,56872.0,-196.63,57500.0,16.0,78.0,-126.7,56848.0,-144.55,57405.0
328.51,57845.0,-120.4,59158.0,-214.06,59759.0,-155.33,58002.0,-201.81,58642.0,8.0,78.0,-124.39,57986.0,-146.72,58564.0
318.92,58986.0,-154.84,60244.0,-202.51,60877.0,-142.1,59142.0,-215.6,59744.0,16.0,93.0,-128.52,59134.0,-144.2,59666.0
343.14,60096.0,-155.61,61361.0,-209.23,61981.0,-154.84,60244.0,-204.4,60892.0,16.0,86.0,-126.28,60228.0,-150.71,60799.0
342.09,61221.0,-151.41,62469.0,-211.61,63098.0,-155.61,61361.0,-209.23,61981.0,16.0,87.0,-131.39,61345.0,-147.14,61895.0
332.36,62320.0,-144.48,63572.0,-190.12,64227.0,-151.41,62469.0,-213.36,63090.0,24.0,71.0,-121.8,62453.0,-150.78,63003.0
332.92,63415.0,-129.57,64727.0,-197.89,65343.0,-148.12,63580.0,-190.4,64211.0,,,-111.16,63556.0,-154.77,64140.0
