Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
244.93,1780.0,-99.82,3164.0,-76.72,3739.0,-110.88,1953.0,-104.58,2667.0,23.0,131.0,-110.88,1953.0,-104.58,2667.0
259.07,3022.0,-128.94,4356.0,-96.11,6204.0,-116.34,3180.0,-124.25,3862.0,23.0,31.0,-87.29,3157.0,-74.2,3731.0
273.49,4206.0,-107.73,5575.0,-100.52,7352.0,-128.94,4356.0,-95.2,5062.0,16.0,131.0,-92.47,4333.0,-82.18,5031.0
256.55,5402.0,-136.78,6709.0,-112.84,8493.0,-109.97,5567.0,-117.18,6250.0,15.0,115.0,-94.22,5551.0,-78.54,6119.0
289.03,6575.0,-125.16,7842.0,-110.67,9614.0,-138.67,6701.0,-116.55,7383.0,16.0,108.0,-109.69,6686.0,-76.37,7268.0
299.74,7708.0,-137.62,8953.0,-125.72,10770.0,-125.16,7842.0,-120.89,8478.0,24.0,101.0,-99.33,7826.0,-84.0,8370.0
313.32,8835.0,-124.46,10096.0,-95.69,11949.0,-144.27,8961.0,-115.29,9598.0,15.0,100.0,-99.96,8937.0,-87.15,9497.0
272.51,9946.0,-110.46,11245.0,-128.38,13074.0,-125.44,10088.0,-126.63,10762.0,15.0,70.0,-106.33,10073.0,-85.33,10662.0
283.29,11093.0,-120.61,12415.0,-133.28,14095.0,-115.15,11237.0,-117.6,11926.0,24.0,94.0,-106.96,11222.0,-85.4,11856.0
265.51,12273.0,-155.05,13530.0,-103.95,15176.0,-126.21,12423.0,-129.01,13082.0,24.0,109.0,-99.4,12399.0,-87.64,12988.0
280.98,13396.0,-176.54,14572.0,-129.64,16226.0,-155.05,13530.0,-144.34,14118.0,23.0,84.0,-114.73,13506.0,-89.6,14009.0
310.94,14454.0,-154.98,15615.0,-128.59,17264.0,-189.84,14565.0,-131.6,15153.0,23.0,85.0,-106.33,14542.0,-98.49,15069.0
315.14,15474.0,-158.9,16668.0,-140.07,18326.0,-175.84,15608.0,-143.36,16211.0,23.0,85.0,-133.91,15585.0,-101.78,16126.0
304.36,16535.0,-134.54,17729.0,-122.22,19408.0,-158.9,16668.0,-128.59,17264.0,15.0,84.0,-131.39,16645.0,-100.94,17179.0
