Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
287.7,2704.0,-113.96,3831.0,-135.31,4304.0,-112.77,2830.0,-177.38,3397.0,24.0,54.0,-112.77,2830.0,-177.38,3397.0
257.81,3626.0,-143.64,4792.0,-185.99,5303.0,-133.35,3847.0,-194.53,4351.0,24.0,62.0,-93.73,3823.0,-126.35,4297.0
276.78,4666.0,-133.91,5761.0,-188.16,6300.0,-143.64,4792.0,-186.13,5311.0,16.0,46.0,-88.48,4768.0,-134.05,5249.0
272.09,5548.0,-131.39,6735.0,-195.86,7250.0,-139.86,5753.0,-192.57,6284.0,16.0,55.0,-114.03,5737.0,-141.96,6238.0
288.82,6561.0,-136.64,7692.0,-164.64,8226.0,-158.13,6727.0,-195.86,7250.0,16.0,46.0,-121.38,6711.0,-134.61,7195.0
258.51,7551.0,-133.14,8656.0,-173.81,9157.0,-136.64,7692.0,-166.95,8218.0,16.0,62.0,-115.99,7676.0,-137.69,8172.0
266.42,8500.0,-139.79,9602.0,-175.77,10150.0,-133.14,8656.0,-174.79,9165.0,16.0,62.0,-109.55,8640.0,-127.54,9103.0
271.6,9461.0,-124.18,10588.0,-184.87,11138.0,-139.79,9602.0,-176.75,10158.0,24.0,63.0,-113.05,9586.0,-120.89,10096.0
257.39,10431.0,-128.45,11568.0,-174.65,12124.0,-125.09,10596.0,-184.87,11138.0,24.0,53.0,-100.87,10572.0,-126.84,11075.0
272.37,11380.0,-143.36,12548.0,-178.15,13096.0,-128.45,11568.0,-179.27,12107.0,24.0,54.0,-93.45,11544.0,-131.39,12054.0
259.63,12344.0,-154.49,13529.0,-181.79,14058.0,-143.36,12548.0,-180.32,13088.0,16.0,55.0,-101.99,12524.0,-128.52,13034.0
281.05,13348.0,-139.86,14501.0,-181.09,15047.0,-156.59,13521.0,-181.79,14058.0,24.0,54.0,-113.54,13505.0,-128.31,14003.0
258.3,14335.0,-91.28,15482.0,-175.14,16003.0,-139.86,14501.0,-182.56,15039.0,16.0,55.0,-107.87,14477.0,-133.35,14985.0
279.79,15309.0,-128.1,16448.0,-185.85,16979.0,-147.84,15475.0,-175.14,16003.0,16.0,62.0,-120.82,15459.0,-127.82,15948.0
260.47,16291.0,-131.04,17422.0,-162.89,17976.0,-134.75,16440.0,-185.85,16979.0,16.0,46.0,-118.16,16424.0,-128.38,16917.0
252.7,17280.0,-128.1,18411.0,-162.96,18955.0,-131.04,17422.0,-165.48,17960.0,16.0,54.0,-114.38,17406.0,-132.58,17914.0
245.63,18268.0,-125.09,19392.0,-173.46,19922.0,-128.1,18411.0,-162.96,18955.0,24.0,71.0,-97.58,18395.0,-127.12,18901.0
257.04,19273.0,-114.52,20383.0,-170.45,20922.0,-129.99,19400.0,-177.94,19938.0,16.0,63.0,-91.0,19376.0,-120.89,19867.0
255.01,20249.0,-81.48,21372.0,-173.25,21924.0,-131.39,20375.0,-170.45,20922.0,16.0,55.0,-115.15,20359.0,-123.13,20859.0
238.56,21152.0,-130.48,22343.0,-156.38,22912.0,-119.21,21364.0,-179.55,21908.0,24.0,70.0,-104.51,21348.0,-124.53,21853.0
247.8,22209.0,-100.8,23370.0,-153.37,23910.0,-141.26,22351.0,-156.8,22920.0,15.0,46.0,-91.42,22327.0,-122.64,22850.0
259.0,23189.0,-121.38,24346.0,-174.23,24887.0,-123.69,23362.0,-172.55,23886.0,15.0,55.0,-103.88,23347.0,-125.51,23840.0
250.39,24189.0,-124.88,25338.0,-163.45,25893.0,-125.58,24338.0,-175.14,24879.0,16.0,54.0,-105.7,24323.0,-120.4,24824.0
244.79,25196.0,-126.35,26329.0,-170.66,26867.0,-124.88,25338.0,-163.45,25893.0,24.0,62.0,-102.83,25322.0,-128.59,25839.0
263.69,26153.0,-106.26,27309.0,-178.36,27831.0,-132.51,26337.0,-170.66,26867.0,16.0,63.0,-96.88,26313.0,-120.96,26805.0
245.77,27160.0,-128.17,28289.0,-163.94,28829.0,-117.81,27301.0,-178.36,27831.0,16.0,63.0,-93.8,27285.0,-121.24,27768.0
241.71,28155.0,-130.62,29263.0,-171.01,29812.0,-129.15,28281.0,-163.94,28829.0,24.0,48.0,-99.05,28265.0,-122.99,28766.0
