Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
183.54,1605.0,-78.68,3068.0,-88.48,3799.0,-84.84,1770.0,-119.21,2572.0,32.0,62.0,-84.84,1770.0,-119.21,2572.0
197.26,2943.0,-95.69,4381.0,-103.6,5126.0,-112.07,3092.0,-116.62,3853.0,24.0,47.0,-60.9,3060.0,-84.07,3791.0
209.65,4232.0,-115.99,5625.0,-113.4,6306.0,-112.98,4373.0,-115.15,5111.0,24.0,78.0,-78.82,4349.0,-83.72,5064.0
203.35,5492.0,-164.43,6850.0,-181.3,7463.0,-118.72,5617.0,-132.86,6329.0,24.0,70.0,-80.85,5593.0,-83.65,6251.0
210.91,6702.0,-142.1,7927.0,-137.76,8529.0,-164.43,6850.0,-181.3,7463.0,23.0,38.0,-99.12,6826.0,-91.07,7393.0
252.28,7794.0,-197.4,8962.0,-145.95,9555.0,-174.65,7919.0,-159.88,8513.0,24.0,30.0,-114.66,7896.0,-111.65,8475.0
236.88,8844.0,-199.43,9990.0,-171.78,10593.0,-197.4,8962.0,-173.39,9539.0,24.0,30.0,-120.47,8938.0,-123.55,9509.0
230.23,9872.0,-156.8,11028.0,-151.34,11613.0,-199.43,9990.0,-176.19,10585.0,8.0,23.0,-138.88,9966.0,-122.29,10555.0
244.44,10901.0,-174.58,12040.0,-163.38,12620.0,-177.94,11020.0,-161.0,11605.0,16.0,39.0,-159.67,11012.0,-124.81,11582.0
213.5,11922.0,-182.7,13030.0,-159.53,13485.0,-174.58,12040.0,-174.65,12627.0,8.0,63.0,-133.21,12024.0,-119.77,12588.0
289.03,12903.0,-169.68,13912.0,-199.15,14408.0,-186.83,13022.0,-204.19,13516.0,16.0,54.0,-157.5,13014.0,-121.17,13453.0
285.67,13793.0,-206.29,14820.0,-153.86,15346.0,-169.68,13912.0,-199.15,14408.0,16.0,39.0,-128.17,13896.0,-142.24,14354.0
265.09,14678.0,-182.56,15726.0,-186.97,16241.0,-206.29,14820.0,-191.94,15331.0,16.0,39.0,-161.56,14804.0,-144.97,15292.0
286.93,15599.0,-199.01,16645.0,-175.42,17154.0,-182.56,15726.0,-192.57,16233.0,16.0,54.0,-134.68,15710.0,-144.83,16194.0
265.44,16518.0,-144.41,17574.0,-187.6,18094.0,-199.01,16645.0,-185.5,17162.0,8.0,39.0,-140.98,16629.0,-135.38,17108.0
272.44,17448.0,-183.68,18490.0,-189.35,19000.0,-175.07,17566.0,-201.53,18086.0,16.0,47.0,-167.86,17558.0,-138.53,18047.0
285.39,18354.0,-156.24,19410.0,-171.43,19935.0,-183.68,18490.0,-189.35,19000.0,16.0,38.0,-155.82,18474.0,-140.42,18953.0
239.61,19197.0,-159.6,20324.0,-192.78,20826.0,-156.24,19410.0,-188.23,19927.0,16.0,47.0,-130.62,19394.0,-137.55,19889.0
261.94,20181.0,-123.62,21235.0,-127.75,21846.0,-159.6,20324.0,-192.78,20826.0,15.0,16.0,-128.1,20308.0,-137.06,20779.0
254.87,21109.0,-132.23,22296.0,-126.0,22931.0,-142.73,21227.0,-147.56,21831.0,15.0,24.0,-124.81,21212.0,-137.2,21815.0
220.64,22163.0,-142.52,23342.0,-137.34,23954.0,-137.62,22288.0,-147.84,22916.0,23.0,39.0,-113.47,22273.0,-125.86,22892.0
242.62,23232.0,-119.91,24438.0,-128.17,25033.0,-152.11,23350.0,-148.54,23969.0,16.0,61.0,-104.79,23327.0,-105.84,23930.0
217.49,24296.0,-116.06,25522.0,-139.72,26126.0,-152.95,24430.0,-157.99,25056.0,8.0,31.0,-130.62,24414.0,-103.88,24995.0
236.53,25397.0,-170.24,26553.0,-146.51,27148.0,-156.87,25506.0,-150.36,26110.0,23.0,54.0,-139.58,25498.0,-112.98,26079.0
228.34,26443.0,-131.53,27605.0,-147.42,28239.0,-178.85,26561.0,-152.81,27155.0,8.0,46.0,-115.5,26538.0,-109.41,27101.0
248.15,27488.0,-147.84,28681.0,-141.47,29338.0,-140.0,27597.0,-147.42,28239.0,16.0,46.0,-131.81,27589.0,-108.57,28193.0
250.25,28556.0,-143.5,29772.0,-127.82,30431.0,-147.84,28681.0,-145.25,29330.0,16.0,38.0,-125.79,28665.0,-106.26,29284.0
255.85,29662.0,-150.36,30873.0,-126.28,31495.0,-143.5,29772.0,-141.33,30416.0,16.0,63.0,-106.47,29756.0,-106.12,30378.0
272.44,30739.0,-130.69,31969.0,-94.01,32681.0,-150.36,30873.0,-136.36,31510.0,15.0,23.0,-122.08,30857.0,-100.73,31447.0
226.8,31844.0,-125.3,33163.0,-110.6,33807.0,-138.32,31953.0,-117.88,32650.0,23.0,85.0,-138.32,31953.0,-100.59,32627.0
210.21,33030.0,-143.92,34327.0,-128.66,35033.0,-133.42,33155.0,-127.19,33846.0,15.0,63.0,-115.85,33140.0,-90.72,33761.0
227.78,34210.0,-115.64,35545.0,-101.85,36291.0,-143.92,34327.0,-130.9,35041.0,16.0,54.0,-104.86,34304.0,-87.15,34978.0
211.68,35381.0,-119.91,36758.0,-127.68,37451.0,-123.9,35537.0,-127.19,36267.0,16.0,47.0,-107.73,35522.0,-93.1,36213.0
228.97,36624.0,-125.58,37922.0,-108.78,38686.0,-121.66,36750.0,-133.84,37435.0,24.0,32.0,-96.39,36734.0,-91.0,37388.0
211.4,37793.0,-122.99,39153.0,-119.91,39897.0,-125.58,37922.0,-123.97,38662.0,24.0,46.0,-96.95,37906.0,-99.12,38630.0
221.27,39028.0,-143.22,40388.0,-115.64,41103.0,-129.57,39161.0,-119.91,39897.0,24.0,46.0,-94.64,39137.0,-90.93,39851.0
216.02,40262.0,-74.55,41657.0,-116.41,42419.0,-143.22,40388.0,-116.69,41110.0,16.0,39.0,-94.01,40364.0,-87.78,41064.0
188.65,41485.0,-132.93,42909.0,-109.69,43611.0,-102.06,41633.0,-117.11,42411.0,16.0,71.0,-102.06,41633.0,-85.61,42372.0
213.29,42784.0,-111.86,44134.0,-105.98,44897.0,-132.93,42909.0,-126.77,43634.0,24.0,39.0,-87.36,42885.0,-82.88,43563.0
231.56,44001.0,-126.14,45377.0,-103.53,46139.0,-118.58,44126.0,-110.74,44881.0,8.0,39.0,-82.46,44110.0,-89.18,44842.0
227.5,45244.0,-135.03,46591.0,-114.52,47351.0,-127.96,45369.0,-124.11,46116.0,,31.0,-98.63,45353.0,-86.45,46077.0
223.23,46481.0,-78.61,47855.0,-121.87,48528.0,-140.98,46599.0,-115.71,47343.0,,62.0,-95.06,46575.0,-105.56,47312.0
210.21,47714.0,-136.22,49040.0,-112.49,49794.0,-105.42,47847.0,-134.12,48551.0,,,-99.89,47839.0,-87.92,48489.0
