Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
180.95,2975.0,-40.39,4617.0,-91.07,5451.0,-49.63,3204.0,-123.06,4030.0,39.0,48.0,-49.63,3204.0,-123.06,4030.0
173.81,4380.0,-50.54,6100.0,-125.16,6879.0,-59.71,4648.0,-109.76,5491.0,24.0,56.0,-34.79,4609.0,-86.73,5443.0
199.22,5817.0,-35.98,7556.0,-83.44,8456.0,-57.05,6085.0,-125.93,6887.0,16.0,16.0,-38.64,6061.0,-86.87,6831.0
179.34,7191.0,-40.18,9067.0,-56.0,9824.0,-54.25,7540.0,-86.87,8416.0,8.0,127.0,-47.67,7524.0,-84.28,8400.0
171.22,8736.0,-52.57,10508.0,-104.09,11389.0,-44.03,9021.0,-110.46,9951.0,23.0,96.0,-41.72,9013.0,-56.0,9824.0
180.6,10278.0,-48.09,11968.0,-99.26,12947.0,-59.08,10515.0,-105.07,11413.0,47.0,96.0,-38.22,10492.0,-72.66,11317.0
188.51,11723.0,-40.32,13566.0,-98.91,14505.0,-64.54,11999.0,-102.34,12931.0,16.0,80.0,-37.38,11952.0,-76.72,12835.0
169.61,13171.0,-56.84,15084.0,-99.4,15997.0,-54.95,13550.0,-102.55,14489.0,32.0,72.0,-48.09,13534.0,-74.13,14409.0
176.75,14799.0,-57.4,16625.0,-105.49,17539.0,-56.84,15084.0,-102.2,15981.0,24.0,72.0,-41.86,15052.0,-72.59,15909.0
167.79,16301.0,-40.88,18237.0,-93.52,19153.0,-57.4,16625.0,-106.05,17530.0,16.0,96.0,-44.03,16601.0,-73.36,17458.0
160.44,17866.0,-47.32,19788.0,-90.3,20769.0,-49.91,18182.0,-96.18,19177.0,16.0,72.0,-41.65,18166.0,-74.62,19081.0
172.62,19433.0,-47.81,21385.0,-95.76,22404.0,-51.8,19780.0,-91.98,20753.0,16.0,88.0,-44.45,19764.0,-71.82,20681.0
151.62,21031.0,-57.47,23020.0,-106.47,23792.0,-47.81,21385.0,-95.76,22404.0,41.0,128.0,-37.59,21369.0,-68.25,22316.0
169.68,22700.0,-63.0,24476.0,-106.82,25440.0,-64.68,23045.0,-118.09,23840.0,32.0,55.0,-43.12,23004.0,-66.43,23712.0
156.03,24159.0,-51.45,26029.0,-113.54,26916.0,-63.0,24476.0,-113.26,25384.0,24.0,64.0,-45.71,24444.0,-79.45,25329.0
172.2,25656.0,-69.3,27503.0,-121.52,28358.0,-64.54,26013.0,-126.91,26884.0,24.0,48.0,-48.37,25989.0,-85.4,26820.0
171.15,27211.0,-54.88,29032.0,-113.54,29827.0,-69.72,27495.0,-124.53,28342.0,7.0,72.0,-44.94,27471.0,-89.81,28294.0
172.27,28614.0,-39.41,30446.0,-57.68,31450.0,-46.9,28954.0,-114.24,29843.0,32.0,24.0,-51.66,29008.0,-90.23,29771.0
167.93,30089.0,-48.93,31933.0,-99.54,32817.0,-49.84,30430.0,-86.45,31362.0,7.0,88.0,-45.57,30423.0,-84.21,31338.0
167.65,31680.0,-27.58,33467.0,-104.37,34332.0,-61.81,31949.0,-107.94,32857.0,16.0,95.0,-34.37,31917.0,-70.49,32769.0
174.37,33112.0,-45.92,34975.0,-84.21,35895.0,-48.02,33443.0,-106.68,34364.0,16.0,48.0,-43.12,33436.0,-71.05,34269.0
152.32,34666.0,-50.4,36512.0,-107.87,37445.0,-48.79,34967.0,-97.23,35847.0,24.0,71.0,-40.18,34951.0,-78.96,35799.0
156.73,36157.0,-45.78,38053.0,-106.61,38973.0,-50.4,36512.0,-108.43,37437.0,24.0,64.0,-38.92,36496.0,-74.48,37366.0
165.62,37754.0,-55.86,39576.0,-116.9,40439.0,-47.88,38061.0,-106.61,38973.0,16.0,72.0,-36.75,38037.0,-73.22,38909.0
169.33,39236.0,-59.36,41091.0,-78.75,41959.0,-55.86,39576.0,-116.9,40439.0,23.0,40.0,-36.47,39552.0,-77.84,40367.0
150.01,40711.0,-52.43,42607.0,-102.2,43448.0,-61.11,41083.0,-84.21,41927.0,15.0,72.0,-46.48,41067.0,-81.34,41887.0
147.35,42277.0,-50.82,44084.0,-104.44,44902.0,-52.43,42607.0,-103.88,43464.0,24.0,87.0,-42.0,42584.0,-73.5,43392.0
155.54,43796.0,-53.83,45528.0,-97.44,46413.0,-51.31,44076.0,-110.6,44926.0,39.0,64.0,-44.38,44061.0,-68.53,44839.0
157.29,45247.0,-55.3,47010.0,-102.83,47951.0,-53.83,45528.0,-99.96,46390.0,23.0,64.0,-39.9,45504.0,-79.52,46326.0
144.97,46760.0,-48.3,48575.0,-108.01,49439.0,-60.69,47025.0,-103.6,47935.0,15.0,64.0,-38.43,46986.0,-77.91,47871.0
178.99,48197.0,-47.11,50073.0,-101.01,50964.0,-59.08,48567.0,-108.01,49439.0,16.0,55.0,-45.71,48544.0,-74.69,49375.0
166.39,49742.0,-43.89,51638.0,-94.85,52521.0,-55.65,50057.0,-102.69,50948.0,23.0,48.0,-45.71,50042.0,-75.11,50893.0
160.23,51259.0,-56.84,53154.0,-107.52,54056.0,-47.18,51630.0,-96.46,52505.0,31.0,72.0,-41.02,51614.0,-77.56,52457.0
158.97,52832.0,-46.83,54675.0,-109.13,55509.0,-56.84,53154.0,-111.23,54073.0,32.0,56.0,-36.33,53131.0,-73.71,54001.0
155.4,54335.0,-65.52,56103.0,-105.42,56977.0,-47.39,54683.0,-109.27,55501.0,16.0,72.0,-37.24,54652.0,-74.69,55445.0
160.72,55835.0,-48.02,57654.0,-109.34,58468.0,-65.52,56103.0,-105.91,56985.0,16.0,72.0,-37.59,56071.0,-78.68,56913.0
154.35,57281.0,-45.99,59105.0,-106.82,60011.0,-42.21,57599.0,-109.55,58476.0,31.0,71.0,-39.62,57583.0,-77.91,58404.0
160.51,58796.0,-51.94,60582.0,-99.47,61487.0,-49.7,59097.0,-107.73,60003.0,39.0,55.0,-41.51,59081.0,-80.29,59932.0
185.15,60267.0,-57.68,62083.0,-116.2,62979.0,-56.35,60597.0,-109.55,61463.0,24.0,64.0,-36.19,60566.0,-78.26,61408.0
162.19,61782.0,-43.61,63621.0,-90.79,64534.0,-63.63,62098.0,-116.2,62979.0,8.0,48.0,-41.58,62059.0,-79.73,62915.0
172.2,63282.0,-36.4,65146.0,-97.86,65972.0,-58.03,63605.0,-92.89,64518.0,16.0,96.0,-42.91,63581.0,-80.85,64470.0
148.26,64782.0,-53.69,66599.0,-93.03,67476.0,-54.39,65122.0,-106.54,66012.0,16.0,63.0,-47.32,65114.0,-74.62,65916.0
152.39,66275.0,-53.97,68057.0,-77.49,68827.0,-53.69,66599.0,-94.29,67460.0,24.0,88.0,-42.98,66583.0,-70.49,67397.0
162.54,67772.0,-57.89,69487.0,-98.07,70362.0,-53.97,68057.0,-122.15,68907.0,31.0,112.0,-42.7,68041.0,-88.9,68819.0
168.21,69242.0,-61.46,71004.0,-84.21,72018.0,-58.1,69495.0,-103.67,70393.0,16.0,48.0,-43.89,69471.0,-76.58,70281.0
