Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
241.15,2481.0,-115.57,3736.0,-94.08,4330.0,-123.27,2598.0,-124.39,3287.0,24.0,93.0,-123.27,2598.0,-124.39,3287.0
243.74,3643.0,-155.61,4880.0,-141.12,5537.0,-138.39,3752.0,-152.25,4415.0,24.0,39.0,-95.41,3728.0,-88.9,4322.0
242.41,4762.0,-168.14,5980.0,-128.73,6647.0,-155.61,4880.0,-157.57,5522.0,24.0,24.0,-99.89,4856.0,-100.45,5483.0
237.72,5878.0,-127.26,7104.0,-138.81,7777.0,-168.14,5980.0,-147.28,6624.0,8.0,23.0,-106.54,5956.0,-115.99,6600.0
228.83,6987.0,-148.82,8218.0,-139.37,8852.0,-143.01,7096.0,-147.42,7761.0,16.0,38.0,-130.69,7088.0,-118.86,7738.0
257.81,8108.0,-125.44,9317.0,-118.3,9920.0,-148.82,8218.0,-141.26,8860.0,16.0,78.0,-122.01,8202.0,-108.08,8822.0
247.03,9200.0,-124.6,10424.0,-147.77,11066.0,-125.44,9317.0,-152.74,9967.0,15.0,47.0,-108.85,9301.0,-101.08,9889.0
233.66,10276.0,-137.34,11523.0,-116.34,12212.0,-127.61,10416.0,-160.02,11059.0,24.0,31.0,-103.67,10401.0,-105.21,11012.0
265.02,11398.0,-152.25,12653.0,-146.51,13270.0,-153.44,11531.0,-144.06,12189.0,24.0,47.0,-99.61,11507.0,-112.56,12158.0
234.01,12527.0,-136.71,13734.0,-151.83,14370.0,-152.25,12653.0,-154.63,13278.0,15.0,54.0,-118.79,12629.0,-107.8,13231.0
225.47,13617.0,-147.0,14813.0,-133.84,15464.0,-148.96,13726.0,-152.18,14378.0,25.0,39.0,-128.66,13711.0,-106.26,14324.0
266.42,14695.0,-149.24,15892.0,-133.42,16499.0,-147.0,14813.0,-151.13,15448.0,24.0,79.0,-108.08,14788.0,-111.51,15409.0
239.89,15766.0,-144.76,16983.0,-151.2,17623.0,-149.24,15892.0,-162.33,16531.0,16.0,55.0,-110.18,15868.0,-109.27,16452.0
247.52,16857.0,-150.78,18059.0,-110.67,18720.0,-158.27,16975.0,-155.12,17615.0,23.0,31.0,-125.44,16959.0,-110.04,17560.0
254.45,17942.0,-151.34,19154.0,-144.27,19802.0,-150.78,18059.0,-137.69,18697.0,15.0,47.0,-108.71,18036.0,-116.62,18666.0
278.53,19013.0,-155.96,20269.0,-126.42,20870.0,-155.68,19146.0,-144.27,19802.0,16.0,87.0,-110.88,19131.0,-104.37,19755.0
259.14,20143.0,-140.35,21368.0,-112.63,22028.0,-157.22,20261.0,-162.68,20917.0,8.0,38.0,-115.22,20245.0,-99.12,20830.0
242.06,21250.0,-141.89,22438.0,-128.45,23109.0,-145.74,21360.0,-143.36,22005.0,24.0,33.0,-136.15,21352.0,-123.97,21967.0
240.8,22306.0,-145.81,23539.0,-140.84,24204.0,-145.74,22446.0,-148.26,23084.0,24.0,39.0,-107.52,22422.0,-110.18,23051.0
227.99,23429.0,-144.2,24655.0,-134.96,25284.0,-156.31,23547.0,-140.84,24204.0,16.0,62.0,-107.59,23523.0,-103.6,24165.0
249.9,24520.0,-143.99,25775.0,-126.56,26434.0,-146.86,24646.0,-154.35,25307.0,24.0,47.0,-110.46,24630.0,-102.34,25245.0
215.25,25641.0,-132.58,26876.0,-150.99,27498.0,-143.99,25775.0,-149.45,26427.0,16.0,70.0,-114.8,25751.0,-106.54,26380.0
232.33,26751.0,-141.47,27973.0,-114.45,28639.0,-144.48,26868.0,-153.58,27506.0,16.0,31.0,-112.7,26852.0,-106.96,27436.0
234.57,27855.0,-143.85,29064.0,-141.12,29674.0,-148.68,27965.0,-142.52,28615.0,16.0,78.0,-108.01,27949.0,-112.56,28584.0
249.55,28947.0,-112.42,30147.0,-121.52,30811.0,-143.85,29064.0,-156.73,29697.0,15.0,45.0,-115.92,29048.0,-107.52,29619.0
245.7,30014.0,-131.04,31235.0,-122.5,31899.0,-139.09,30139.0,-147.07,30795.0,16.0,23.0,-125.16,30124.0,-104.79,30750.0
253.89,31117.0,-144.27,32324.0,-143.36,32973.0,-131.04,31235.0,-145.18,31875.0,24.0,38.0,-101.85,31219.0,-114.45,31852.0
227.43,32223.0,-150.85,33432.0,-112.28,34037.0,-151.2,32332.0,-143.36,32973.0,24.0,69.0,-106.33,32308.0,-108.78,32935.0
244.16,33291.0,-154.77,34533.0,-158.83,35183.0,-150.85,33432.0,-146.23,34075.0,16.0,54.0,-115.22,33408.0,-101.08,34006.0
245.21,34384.0,-158.06,35632.0,-136.15,36294.0,-155.68,34525.0,-158.83,35183.0,24.0,47.0,-122.08,34509.0,-103.88,35129.0
253.12,35498.0,-132.37,36744.0,-145.67,37369.0,-158.06,35632.0,-151.48,36276.0,16.0,70.0,-111.23,35608.0,-109.2,36229.0
238.56,36595.0,-142.24,37836.0,-137.62,38488.0,-142.45,36736.0,-151.83,37385.0,16.0,39.0,-114.87,36720.0,-110.74,37315.0
290.99,37710.0,-141.96,38925.0,-142.52,39585.0,-152.04,37828.0,-149.73,38473.0,16.0,47.0,-107.24,37812.0,-107.24,38434.0
224.49,38807.0,-158.48,40021.0,-145.46,40647.0,-141.96,38925.0,-149.73,39570.0,24.0,63.0,-111.65,38909.0,-106.19,39523.0
268.59,39900.0,-164.01,41113.0,-147.35,41757.0,-163.73,40029.0,-154.63,40663.0,24.0,31.0,-120.82,40005.0,-104.86,40600.0
235.62,40988.0,-138.95,42207.0,-159.39,42824.0,-164.01,41113.0,-159.67,41733.0,16.0,54.0,-109.69,41089.0,-107.66,41702.0
235.9,42081.0,-172.2,43271.0,-130.76,43930.0,-150.01,42199.0,-159.39,42824.0,31.0,30.0,-118.09,42183.0,-110.95,42770.0
242.41,43153.0,-130.27,44373.0,-128.1,45008.0,-174.93,43278.0,-145.18,43914.0,23.0,23.0,-111.58,43247.0,-115.92,43884.0
244.02,44232.0,-104.02,45446.0,-141.75,46057.0,-159.11,44365.0,-152.81,44985.0,8.0,38.0,-115.71,44342.0,-112.7,44962.0
227.64,45329.0,-153.93,46518.0,-145.39,47153.0,-142.1,45431.0,-147.98,46064.0,24.0,46.0,-130.83,45423.0,-106.75,46026.0
237.09,46400.0,-143.64,47613.0,-152.04,48249.0,-158.62,46525.0,-153.51,47168.0,16.0,46.0,-113.12,46501.0,-107.03,47122.0
237.93,47489.0,-155.61,48710.0,-146.79,49343.0,-143.64,47613.0,-152.04,48249.0,24.0,38.0,-123.97,47597.0,-106.26,48203.0
279.44,48594.0,-171.57,49794.0,-148.19,50442.0,-155.61,48710.0,-151.34,49335.0,24.0,46.0,-108.15,48686.0,-110.53,49297.0
258.02,49667.0,-131.88,50915.0,-146.72,51581.0,-171.57,49794.0,-148.19,50442.0,16.0,30.0,-110.11,49770.0,-113.54,50396.0
225.05,50805.0,-143.92,52054.0,-144.41,52720.0,-144.06,50907.0,-152.32,51565.0,,,-121.45,50891.0,-106.96,51535.0
