Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
80.08,2842.0,-40.88,4809.0,-45.43,5710.0,-47.32,3065.0,-62.23,4030.0,24.0,124.0,-47.32,3065.0,-62.23,4030.0
107.1,4467.0,-49.42,6450.0,-69.09,7475.0,-50.96,4825.0,-82.6,5826.0,39.0,109.0,-35.42,4801.0,-43.89,5702.0
122.64,6077.0,-52.08,8041.0,-64.12,9056.0,-59.22,6465.0,-78.82,7459.0,24.0,78.0,-36.68,6426.0,-51.66,7350.0
151.55,7718.0,-50.19,9585.0,-44.73,10518.0,-61.81,8026.0,-90.44,9010.0,23.0,54.0,-41.44,8002.0,-56.77,8932.0
139.58,9292.0,-63.42,11037.0,-94.85,11931.0,-62.3,9569.0,-80.15,10479.0,23.0,77.0,-44.17,9546.0,-60.41,10425.0
157.71,10753.0,-74.48,12458.0,-34.51,13352.0,-66.29,11029.0,-98.14,11939.0,31.0,8.0,-47.46,11006.0,-61.25,11862.0
150.01,12229.0,-84.84,13863.0,-81.62,14769.0,-79.59,12466.0,-67.34,13297.0,31.0,38.0,-47.25,12435.0,-64.75,13289.0
167.65,13595.0,-79.1,15304.0,-68.53,16133.0,-84.84,13863.0,-81.83,14761.0,24.0,38.0,-52.64,13832.0,-62.3,14723.0
177.03,15068.0,-72.73,16683.0,-64.05,17439.0,-86.38,15296.0,-75.11,16148.0,23.0,115.0,-63.35,15272.0,-54.25,16110.0
189.28,16454.0,-69.09,18106.0,-78.05,20374.0,-83.44,16675.0,-98.98,17516.0,24.0,7.0,-63.07,16652.0,-55.23,17401.0
146.16,17805.0,-75.25,19556.0,-69.65,21710.0,-69.09,18106.0,-65.17,18998.0,23.0,69.0,-60.62,18082.0,-63.84,18991.0
167.16,19296.0,-76.23,20924.0,-94.85,23067.0,-84.21,19548.0,-80.08,20381.0,24.0,77.0,-61.46,19525.0,-60.9,20312.0
137.83,20726.0,-86.17,22275.0,-67.27,24400.0,-76.23,20924.0,-83.37,21749.0,23.0,78.0,-59.85,20900.0,-51.17,21672.0
168.07,22063.0,-73.57,23612.0,-38.36,25750.0,-106.26,22267.0,-94.85,23067.0,23.0,46.0,-61.67,22244.0,-59.5,22989.0
161.84,23359.0,-95.69,24883.0,-57.96,26910.0,-94.22,23604.0,-89.18,24362.0,23.0,15.0,-71.26,23581.0,-63.14,24316.0
174.02,24678.0,-90.16,26232.0,-75.11,28287.0,-95.69,24883.0,-71.96,25718.0,23.0,125.0,-71.96,24860.0,-65.73,25703.0
157.92,26066.0,-98.0,27539.0,-85.05,29650.0,-90.16,26232.0,-94.36,27004.0,24.0,85.0,-70.21,26209.0,-57.54,26879.0
160.79,27313.0,-93.24,28868.0,-54.6,31079.0,-98.0,27539.0,-92.82,28334.0,23.0,92.0,-72.17,27515.0,-58.52,28249.0
170.17,28608.0,-69.23,30243.0,-84.49,32363.0,-98.91,28860.0,-90.86,29634.0,15.0,39.0,-73.85,28837.0,-67.27,29542.0
160.86,29909.0,-86.59,31567.0,-85.61,33670.0,-90.16,30227.0,-84.91,31055.0,23.0,70.0,-75.11,30212.0,-66.08,31016.0
164.36,31353.0,-104.72,32874.0,-97.79,34970.0,-86.59,31567.0,-84.49,32363.0,24.0,62.0,-71.47,31544.0,-62.44,32293.0
187.67,32662.0,-117.95,34196.0,-65.1,36312.0,-104.72,32874.0,-90.44,33677.0,32.0,85.0,-73.92,32850.0,-59.5,33615.0
177.66,33983.0,-66.01,35513.0,-85.05,37574.0,-118.72,34204.0,-103.04,34985.0,8.0,16.0,-84.56,34172.0,-62.65,34900.0
169.75,35268.0,-95.27,36817.0,-79.38,38845.0,-89.6,35489.0,-75.32,36304.0,16.0,70.0,-83.16,35481.0,-70.49,36288.0
164.57,36564.0,-81.06,38086.0,-90.02,40098.0,-96.32,36809.0,-89.53,37590.0,31.0,69.0,-81.97,36793.0,-65.31,37520.0
157.15,37889.0,-91.07,39373.0,-21.07,41473.0,-86.73,38102.0,-90.86,38868.0,109.0,108.0,-65.94,38071.0,-58.45,38799.0
169.26,39201.0,-66.71,40676.0,-71.61,42763.0,-119.77,39451.0,-105.98,40129.0,15.0,46.0,-67.2,39342.0,-63.35,40021.0
162.75,40420.0,-79.1,41946.0,-106.54,44052.0,-93.66,40652.0,-70.77,41434.0,15.0,85.0,-76.44,40637.0,-70.77,41434.0
201.81,41726.0,-101.22,43259.0,-74.55,45363.0,-89.18,41938.0,-92.19,42740.0,39.0,37.0,-78.96,41923.0,-62.65,42694.0
166.74,43054.0,-85.05,44569.0,-50.19,46650.0,-119.63,43283.0,-108.15,44060.0,23.0,24.0,-72.24,43244.0,-59.36,43975.0
182.49,44334.0,-83.51,45859.0,-84.56,47900.0,-95.13,44561.0,-94.08,45347.0,15.0,54.0,-75.11,44538.0,-71.61,45310.0
177.87,45654.0,-74.55,47137.0,-103.18,49192.0,-98.07,45851.0,-84.14,46611.0,31.0,61.0,-85.47,45836.0,-71.96,46587.0
161.28,46886.0,-98.98,48427.0,-73.85,50555.0,-76.93,47145.0,-95.76,47923.0,31.0,38.0,-76.65,47114.0,-65.45,47869.0
189.77,48229.0,-90.02,49742.0,-36.12,51721.0,-105.14,48435.0,-109.97,49207.0,23.0,124.0,-68.88,48404.0,-66.22,49146.0
186.27,49514.0,-103.74,51060.0,-65.03,53161.0,-94.92,49734.0,-93.8,50531.0,32.0,30.0,-73.08,49711.0,-73.99,50493.0
172.69,50823.0,-103.18,52355.0,-88.76,54325.0,-103.74,51060.0,-89.39,51845.0,24.0,137.0,-77.49,51028.0,-36.12,51721.0
183.75,52143.0,-86.87,53645.0,-67.97,55614.0,-107.1,52348.0,-87.36,53138.0,23.0,31.0,-74.76,52324.0,-64.54,53108.0
181.23,53450.0,-95.13,54873.0,-53.13,56898.0,-100.87,53637.0,-116.97,54378.0,23.0,16.0,-74.2,53614.0,-62.58,54241.0
186.9,54733.0,-94.36,56104.0,-67.62,58089.0,-97.51,54866.0,-86.59,55599.0,23.0,76.0,-76.37,54843.0,-71.54,55568.0
174.09,55902.0,-94.5,57372.0,-50.12,59442.0,-94.36,56104.0,-78.05,56875.0,23.0,23.0,-74.55,56081.0,-75.11,56859.0
207.27,57169.0,-103.11,58633.0,-74.76,60561.0,-94.5,57372.0,-96.46,58134.0,23.0,116.0,-77.21,57349.0,-58.24,58058.0
184.24,58492.0,-117.25,59905.0,-73.36,61924.0,-103.11,58633.0,-74.41,59419.0,23.0,46.0,-77.56,58610.0,-61.25,59396.0
201.88,59765.0,-101.5,61125.0,-54.39,63230.0,-117.25,59905.0,-122.43,60623.0,23.0,7.0,-77.91,59882.0,-62.16,60507.0
183.61,60937.0,-68.25,62435.0,-89.46,64473.0,-101.5,61125.0,-98.28,61900.0,15.0,53.0,-80.71,61102.0,-69.58,61854.0
145.81,62206.0,-99.68,63712.0,-84.63,65771.0,-87.29,62427.0,-89.53,63191.0,31.0,39.0,-81.13,62412.0,-83.02,63184.0
161.91,63521.0,-98.49,64991.0,-71.26,67050.0,-100.03,63720.0,-98.28,64496.0,31.0,23.0,-68.81,63689.0,-65.94,64443.0
196.42,64802.0,-79.24,66303.0,-76.58,68294.0,-100.52,64999.0,-85.75,65779.0,15.0,61.0,-68.95,64968.0,-67.69,65740.0
181.02,66053.0,-98.98,67547.0,-94.01,69630.0,-100.03,66288.0,-83.02,67042.0,23.0,54.0,-83.3,66273.0,-71.4,67019.0
150.99,67389.0,-94.15,68828.0,-69.58,71017.0,-98.98,67547.0,-93.73,68317.0,31.0,,-75.74,67524.0,-59.08,68256.0
181.16,68625.0,-73.43,70174.0,,,-94.99,68836.0,-97.23,69638.0,,,-74.55,68805.0,-65.94,69584.0
