Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
286.93,4052.0,-130.76,5334.0,-157.64,5909.0,-141.61,4208.0,-203.49,4884.0,24.0,92.0,-141.61,4208.0,-203.49,4884.0
325.71,5209.0,-116.9,6467.0,-162.47,7135.0,-139.3,5350.0,-205.38,5994.0,16.0,70.0,-112.42,5326.0,-154.91,5902.0
322.56,6310.0,-149.45,7578.0,-204.05,8223.0,-135.59,6452.0,-199.78,7119.0,24.0,70.0,-109.48,6436.0,-147.98,7049.0
326.41,7436.0,-159.88,8681.0,-209.3,9296.0,-149.45,7578.0,-205.8,8207.0,16.0,70.0,-116.2,7554.0,-145.95,8137.0
338.31,8548.0,-144.06,9761.0,-199.36,10381.0,-165.76,8673.0,-209.3,9296.0,16.0,62.0,-123.2,8657.0,-145.11,9226.0
340.06,9620.0,-154.28,10836.0,-211.75,11455.0,-145.25,9753.0,-202.02,10373.0,16.0,93.0,-117.6,9737.0,-147.77,10311.0
336.77,10696.0,-169.05,11920.0,-235.55,12509.0,-154.28,10836.0,-215.04,11479.0,24.0,94.0,-109.62,10820.0,-146.3,11386.0
329.77,11770.0,-206.57,12942.0,-213.36,13525.0,-179.13,11928.0,-242.13,12525.0,24.0,86.0,-126.0,11904.0,-151.83,12431.0
372.75,12809.0,-197.26,13935.0,-243.53,14516.0,-206.57,12942.0,-252.77,13518.0,32.0,78.0,-129.5,12918.0,-162.61,13432.0
375.34,13802.0,-174.93,14934.0,-227.85,15494.0,-200.97,13943.0,-260.47,14509.0,16.0,71.0,-137.62,13911.0,-177.38,14431.0
375.27,14776.0,-188.3,15912.0,-247.59,16466.0,-188.16,14918.0,-242.83,15486.0,16.0,77.0,-142.8,14902.0,-187.95,15415.0
377.23,15762.0,-181.79,16878.0,-237.51,17453.0,-192.78,15904.0,-247.59,16466.0,16.0,62.0,-158.48,15888.0,-178.78,16389.0
362.04,16745.0,-171.85,17861.0,-92.61,18249.0,-181.79,16878.0,-241.29,17437.0,24.0,171.0,-151.27,16862.0,-180.39,17375.0
358.89,17728.0,-177.17,18838.0,-215.88,19403.0,-174.51,17869.0,-254.38,18420.0,24.0,70.0,-136.36,17845.0,-92.61,18249.0
375.48,18713.0,-186.76,19808.0,-218.75,20387.0,-177.17,18838.0,-241.85,19396.0,24.0,70.0,-134.82,18814.0,-178.92,19326.0
366.8,19675.0,-194.88,20803.0,-267.89,21291.0,-186.76,19808.0,-241.64,20372.0,23.0,78.0,-135.03,19784.0,-174.65,20302.0
357.63,20662.0,-193.83,21682.0,-271.88,22190.0,-200.48,20795.0,-280.56,21299.0,39.0,70.0,-153.86,20772.0,-173.46,21221.0
408.31,21541.0,-221.9,22590.0,-257.46,23084.0,-197.47,21690.0,-283.85,22182.0,32.0,62.0,-138.88,21651.0,-194.74,22112.0
412.16,22456.0,-173.25,23468.0,-217.91,23901.0,-221.9,22590.0,-289.17,23077.0,24.0,63.0,-155.47,22558.0,-204.4,23015.0
394.66,23319.0,-198.03,24349.0,-204.75,24826.0,-206.08,23452.0,-302.54,23948.0,24.0,54.0,-150.64,23428.0,-213.15,23885.0
403.13,24153.0,-203.28,25196.0,-282.45,25689.0,-221.34,24341.0,-294.49,24811.0,32.0,62.0,-152.53,24317.0,-215.88,24757.0
388.15,25062.0,-186.2,26091.0,-271.81,26570.0,-225.89,25204.0,-282.45,25689.0,24.0,62.0,-160.37,25172.0,-210.98,25627.0
388.5,25942.0,-189.7,26969.0,-283.57,27456.0,-186.97,26084.0,-271.81,26570.0,16.0,62.0,-160.44,26060.0,-202.02,26508.0
412.51,26828.0,-214.41,27849.0,-256.48,28367.0,-198.52,26953.0,-283.57,27456.0,24.0,63.0,-163.24,26937.0,-202.72,27394.0
377.72,27715.0,-214.06,28775.0,-240.59,29330.0,-214.41,27849.0,-256.48,28367.0,55.0,54.0,-140.35,27825.0,-200.34,28304.0
388.71,28616.0,-169.19,29750.0,-247.38,30292.0,-222.32,28806.0,-248.71,29315.0,16.0,70.0,-152.81,28751.0,-192.78,29261.0
362.04,29598.0,-149.66,30731.0,-243.04,31265.0,-194.88,29733.0,-248.85,30300.0,24.0,62.0,-160.72,29717.0,-179.06,30230.0
365.26,30574.0,-183.33,31691.0,-241.78,32248.0,-188.79,30715.0,-243.04,31265.0,16.0,63.0,-150.22,30691.0,-180.11,31203.0
364.14,31549.0,-193.27,32673.0,-229.67,33246.0,-186.34,31683.0,-244.09,32241.0,24.0,62.0,-163.87,31667.0,-178.92,32178.0
353.43,32524.0,-183.33,33670.0,-220.99,34243.0,-193.27,32673.0,-230.16,33238.0,25.0,69.0,-149.45,32649.0,-171.71,33176.0
356.86,33528.0,-177.8,34680.0,-223.72,35238.0,-183.33,33670.0,-220.99,34243.0,24.0,78.0,-133.49,33645.0,-167.93,34174.0
361.97,34527.0,-153.23,35695.0,-224.91,36262.0,-178.92,34672.0,-224.49,35245.0,16.0,62.0,-135.38,34648.0,-158.62,35167.0
353.85,35545.0,-170.24,36688.0,-222.67,37273.0,-182.35,35679.0,-227.15,36246.0,24.0,70.0,-147.35,35663.0,-160.58,36184.0
354.13,36538.0,-155.89,37708.0,-210.77,38316.0,-170.24,36688.0,-222.67,37273.0,24.0,62.0,-142.59,36664.0,-164.64,37203.0
347.34,37565.0,-143.29,38765.0,-190.33,39404.0,-155.89,37708.0,-214.62,38308.0,16.0,46.0,-130.2,37684.0,-161.49,38246.0
330.54,38615.0,-139.58,39842.0,-212.73,40420.0,-155.96,38756.0,-196.49,39380.0,16.0,63.0,-133.91,38740.0,-164.36,39334.0
331.8,39694.0,-150.15,40875.0,-40.11,41294.0,-152.46,39834.0,-214.69,40428.0,24.0,216.0,-128.52,39818.0,-150.5,40365.0
316.75,40734.0,-157.43,41963.0,-187.32,42609.0,-159.88,40883.0,-206.85,41510.0,24.0,62.0,-118.02,40859.0,-40.11,41294.0
326.48,41807.0,-168.28,43022.0,-178.78,43652.0,-157.43,41963.0,-212.03,42571.0,24.0,62.0,-113.68,41939.0,-149.8,42509.0
337.4,42867.0,-126.07,44072.0,-196.63,44687.0,-168.28,43022.0,-210.91,43614.0,,,-115.15,42998.0,-150.43,43552.0
