Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
178.22,2176.0,-45.5,3706.0,-90.58,4400.0,-49.98,2462.0,-124.25,3188.0,39.0,55.0,-49.98,2462.0,-124.25,3188.0
190.47,3517.0,-74.55,5000.0,-117.81,5687.0,-73.43,3737.0,-108.08,4447.0,31.0,62.0,-36.33,3698.0,-87.36,4392.0
225.33,4778.0,-48.23,6237.0,-115.43,6923.0,-84.0,4992.0,-117.81,5687.0,16.0,102.0,-45.22,4961.0,-84.35,5625.0
185.92,6017.0,-67.2,7474.0,-105.98,8238.0,-72.66,6222.0,-124.88,6962.0,16.0,55.0,-63.07,6206.0,-80.92,6860.0
196.7,7245.0,-70.28,8733.0,-112.28,9527.0,-72.24,7466.0,-112.35,8207.0,39.0,63.0,-62.86,7450.0,-87.5,8152.0
193.13,8552.0,-91.14,10038.0,-99.26,10730.0,-84.42,8756.0,-116.34,9511.0,31.0,86.0,-57.61,8717.0,-83.37,9448.0
196.21,9833.0,-56.42,11281.0,-126.42,12008.0,-91.14,10038.0,-115.78,10753.0,23.0,70.0,-58.45,10007.0,-80.78,10667.0
205.52,11084.0,-60.97,12551.0,-111.16,13314.0,-79.24,11265.0,-127.68,12000.0,16.0,54.0,-71.19,11242.0,-84.28,11930.0
167.09,12330.0,-78.19,13833.0,-127.68,14604.0,-77.7,12536.0,-116.76,13290.0,23.0,54.0,-66.57,12520.0,-85.33,13236.0
183.19,13620.0,-69.51,15140.0,-112.7,15874.0,-78.19,13833.0,-129.08,14596.0,16.0,55.0,-55.09,13810.0,-89.81,14542.0
171.64,14918.0,-68.95,16411.0,-112.98,17136.0,-73.92,15133.0,-112.7,15874.0,16.0,48.0,-55.86,15117.0,-87.29,15819.0
183.26,16197.0,-64.26,17656.0,-124.46,18387.0,-75.32,16404.0,-113.47,17128.0,15.0,62.0,-55.02,16388.0,-85.54,17080.0
